id,label,book_id,book_title,book_type,page,num_images,image_labels,image_iiif
19ebc010-cef0-49ea-84ca-d76a3dbbd917/p-21-with-insertion-a,Emmanuel Levinas. Difficile liberté : essais sur le judaïsme. p. 21 with Insertion A,https://derridas-margins.princeton.edu/titles/102/,Difficile liberté,Book,p. 21,1,,"https://derridas-margins.princeton.edu/library/levinas-difficile-liberte-essais-sur-le-judaisme-1963/gallery/images/p-21-with-insertion-a/iiif/full/500,/0/default.jpg"
11b55ec7-73f4-4867-b883-196c59bd60bf/pp-80-81-insertion-a-verso,Martin Heidegger. Sein und Zeit. pp. 80-81 Insertion A,https://derridas-margins.princeton.edu/titles/141/,Sein und Zeit,Book,pp. 80-81,2,verso;recto,"https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/pp-80-81-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/pp-80-81-insertion-a-recto/iiif/full/500,/0/default.jpg"
807eab70-c736-45a8-83df-6018a4ea8b65/pp-238-239-insertion-a-recto,"Franz Kafka. Oeuvres complètes, Tome VI. pp. 238-239 Insertion A",https://derridas-margins.princeton.edu/titles/199/,Oeuvres complètes de Franz Kafka,Book,pp. 238-239,2,recto;verso,"https://derridas-margins.princeton.edu/library/kafka-oeuvres-completes-vol-vi-1964/gallery/images/pp-238-239-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/kafka-oeuvres-completes-vol-vi-1964/gallery/images/pp-238-239-insertion-a-verso/iiif/full/500,/0/default.jpg"
c1ed0483-039d-4286-b3a6-e83860e8d171/pp-58-59-insertion-a-recto,Anthropologie structurale. pp. 58-59 Insertion A,https://derridas-margins.princeton.edu/titles/97/,Anthropologie structurale,Book,pp. 58-59,2,recto;verso,"https://derridas-margins.princeton.edu/library/levi-strauss-anthropologie-structurale-1958/gallery/images/pp-58-59-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levi-strauss-anthropologie-structurale-1958/gallery/images/pp-58-59-insertion-a-verso/iiif/full/500,/0/default.jpg"
c1ed0483-039d-4286-b3a6-e83860e8d171/back-flyleaf-1-verso-inside-back-cover-insertion-a-recto,Anthropologie structurale. Back flyleaf 1 verso - Inside back cover Insertion A,https://derridas-margins.princeton.edu/titles/97/,Anthropologie structurale,Book,Back flyleaf 1 verso - Inside back cover,2,recto;verso,"https://derridas-margins.princeton.edu/library/levi-strauss-anthropologie-structurale-1958/gallery/images/back-flyleaf-1-verso-inside-back-cover-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levi-strauss-anthropologie-structurale-1958/gallery/images/back-flyleaf-1-verso-inside-back-cover-insertion-a-verso/iiif/full/500,/0/default.jpg"
11b55ec7-73f4-4867-b883-196c59bd60bf/pp-318-319-insertion-a-verso,Martin Heidegger. Sein und Zeit. pp. 318-319 Insertion A,https://derridas-margins.princeton.edu/titles/141/,Sein und Zeit,Book,pp. 318-319,2,verso;recto,"https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/pp-318-319-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/pp-318-319-insertion-a-recto/iiif/full/500,/0/default.jpg"
711a6d94-cbcc-4c54-b81b-fba96fd61623/pp-84-85-insertion-a-verso,Aristote. Organon : I. Catégories ; II. De l'Interprétation. pp. 84-85 Insertion A,https://derridas-margins.princeton.edu/titles/125/,"Organon: Catégories, De L'interprétation",Book,pp. 84-85,2,verso;recto,"https://derridas-margins.princeton.edu/library/aristotle-organon-categories-de-linterpretation-1959/gallery/images/pp-84-85-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/aristotle-organon-categories-de-linterpretation-1959/gallery/images/pp-84-85-insertion-a-recto/iiif/full/500,/0/default.jpg"
111f41c5-bc8e-4b96-b59a-74297eb4e9ab/inside-front-cover-half-title-insertion-k-recto,"Derrida, Jacques. L'Origine de la géométrie. Inside front cover - half-title Insertion K",https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,Inside front cover - half-title,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-k-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-k-verso/iiif/full/500,/0/default.jpg"
cea47984-6425-4f1e-b44b-7d45b62566ec/pp-108-109-insertion-a-verso,Robert Derathé. Le Rationalisme de J.-J. Rousseau. pp. 108-109 Insertion A,https://derridas-margins.princeton.edu/titles/120/,Le Rationalisme de J.-J. Rousseau,Book,pp. 108-109,2,verso;recto,"https://derridas-margins.princeton.edu/library/derathe-le-rationalisme-de-j-j-rousseau-1948/gallery/images/pp-108-109-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/derathe-le-rationalisme-de-j-j-rousseau-1948/gallery/images/pp-108-109-insertion-a-recto/iiif/full/500,/0/default.jpg"
111f41c5-bc8e-4b96-b59a-74297eb4e9ab/inside-front-cover-half-title-insertion-e-recto,"Derrida, Jacques. L'Origine de la géométrie. Inside front cover - half-title Insertion E",https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,Inside front cover - half-title,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-e-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-e-verso/iiif/full/500,/0/default.jpg"
111f41c5-bc8e-4b96-b59a-74297eb4e9ab/inside-front-cover-half-title-insertion-h-recto,"Derrida, Jacques. L'Origine de la géométrie. Inside front cover - half-title Insertion H",https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,Inside front cover - half-title,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-h-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-h-verso/iiif/full/500,/0/default.jpg"
